LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709251394.119809,1322666.000,24098,3,MZ,1,100,30
1709251394.159807,1322706.000,24115,2,MZ,1,100,30
1709251394.199806,1322746.000,24115,2,MZ,1,100,30
1709251394.239805,1322786.000,24130,3,MZ,1,100,30
1709251394.279803,1322826.000,24130,3,MZ,1,100,30
1709251394.319802,1322866.000,24130,3,MZ,1,100,30
1709251394.359801,1322906.000,24147,2,MZ,1,100,30
1709251394.399799,1322946.000,24147,2,MZ,1,100,31
1709251394.439798,1322986.000,24164,3,MZ,1,100,30
1709251394.479796,1323026.000,24164,3,MZ,1,100,32
1709251394.519795,1323066.000,24164,3,MZ,1,100,30
1709251394.559794,1323106.000,24182,2,MZ,1,100,30
1709251394.599792,1323146.000,24182,2,MZ,1,100,31
1709251394.640124,1323186.333,24199,3,MZ,1,100,30
1709251394.680456,1323226.667,24199,3,MZ,1,100,30
1709251394.720788,1323267.000,24199,3,MZ,1,100,31
1709251394.760453,1323306.667,24217,3,MZ,1,100,29
1709251394.800119,1323346.333,24217,3,MZ,1,100,30
1709251394.839784,1323386.000,24217,3,MZ,1,100,32
1709251394.879783,1323426.000,24233,2,MZ,1,100,30
1709251394.919781,1323466.000,24233,2,MZ,1,100,30
1709251394.959780,1323506.000,24250,3,MZ,1,100,30
1709251394.999779,1323546.000,24250,3,MZ,1,100,30
1709251395.039777,1323586.000,24250,3,MZ,1,100,30
1709251395.077376,1323623.600,24275,5,MZ,1,100,30
1709251395.114974,1323661.200,24275,5,MZ,1,100,29
1709251395.152573,1323698.800,24275,5,MZ,1,100,30
1709251395.190172,1323736.400,24275,5,MZ,1,100,31
1709251395.227771,1323774.000,24275,5,MZ,1,100,30
1709251395.267769,1323814.000,24291,2,MZ,1,100,30
1709251395.307768,1323854.000,24291,2,MZ,1,100,30
1709251395.347766,1323894.000,24308,3,MZ,1,100,30
1709251395.387765,1323934.000,24308,3,MZ,1,100,31
1709251395.427764,1323974.000,24308,3,MZ,1,100,30
1709251395.467762,1324014.000,24323,2,MZ,1,100,31
1709251395.507761,1324054.000,24323,2,MZ,1,100,30
1709251395.547760,1324094.000,24340,3,MZ,1,100,31
1709251395.587758,1324134.000,24340,3,MZ,1,100,30
1709251395.627757,1324174.000,24340,3,MZ,1,100,30
1709251395.667755,1324214.000,24356,3,MZ,1,100,30
1709251395.707754,1324254.000,24356,3,MZ,1,100,32
1709251395.747752,1324294.000,24356,3,MZ,1,100,31
1709251395.787751,1324334.000,24374,2,MZ,1,100,30
1709251395.827750,1324374.000,24374,2,MZ,1,100,30
1709251395.867748,1324414.000,24388,3,MZ,1,100,30
1709251395.907747,1324454.000,24388,3,MZ,1,100,29
1709251395.947746,1324494.000,24388,3,MZ,1,100,30
1709251395.987744,1324534.000,24405,2,MZ,1,100,30
1709251396.027743,1324574.000,24405,2,MZ,1,100,31
1709251396.067741,1324614.000,24421,3,MZ,1,100,31
1709251396.107740,1324654.000,24421,3,MZ,1,100,30
1709251396.147739,1324694.000,24421,3,MZ,1,100,31
1709251396.187237,1324733.500,24439,2,MZ,1,100,31
1709251396.226736,1324773.000,24439,2,MZ,1,100,31
1709251396.266735,1324813.000,24453,3,MZ,1,100,30
1709251396.306733,1324853.000,24453,3,MZ,1,100,30
1709251396.346732,1324893.000,24453,3,MZ,1,100,30
1709251396.386730,1324933.000,24470,2,MZ,1,100,30
1709251396.426729,1324973.000,24470,2,MZ,1,100,31
1709251396.467061,1325013.333,24487,3,MZ,1,100,30
1709251396.507393,1325053.667,24487,3,MZ,1,100,30
1709251396.547725,1325094.000,24487,3,MZ,1,100,31
1709251396.587224,1325133.500,24504,2,MZ,1,100,31
1709251396.626722,1325173.000,24504,2,MZ,1,100,30
1709251396.667054,1325213.333,24518,3,MZ,1,100,31
1709251396.707386,1325253.667,24518,3,MZ,1,100,30
1709251396.747718,1325294.000,24518,3,MZ,1,100,30
1709251396.787383,1325333.667,24536,3,MZ,1,100,30
1709251396.827049,1325373.333,24536,3,MZ,1,100,31
1709251396.866714,1325413.000,24536,3,MZ,1,100,30
1709251396.906713,1325453.000,24552,2,MZ,1,100,30
1709251396.946711,1325493.000,24552,2,MZ,1,100,31
1709251396.986710,1325533.000,24569,3,MZ,1,100,30
1709251397.026708,1325573.000,24569,3,MZ,1,100,30
1709251397.066707,1325613.000,24569,3,MZ,1,100,30
1709251397.107205,1325653.500,24586,2,MZ,1,100,30
1709251397.147704,1325694.000,24586,2,MZ,1,100,30
1709251397.182703,1325729.000,24601,3,MZ,1,100,31
